Img,Label
Scissor_1057,1
Scissor_1058,1
Scissor_1059,1
Scissor_1060,1
Scissor_1061,1
Scissor_1062,1
Scissor_1063,1
Scissor_1064,1
Scissor_1065,1
Scissor_1066,1
Scissor_1067,1
Scissor_1068,1
Scissor_1069,1
Scissor_1070,1
Scissor_1071,1
Scissor_1072,1
Scissor_1073,1
Scissor_1074,1
Scissor_1075,1
Scissor_1076,1
Scissor_1077,1
Scissor_1078,1
Scissor_1079,1
Scissor_1080,1
Scissor_1081,1
Scissor_1082,1
Scissor_1083,1
Scissor_1084,1
Scissor_1085,1
Scissor_1086,1
Scissor_1087,1
Scissor_1088,1
